1,3
2,2
3,4
4,5
5,1
6,6
7,1
8,1
9,10
10,1
11,3
14,3
15,4
16,4
18,12
20,9
21,2
22,4
23,1
24,7
25,3
26,10
27,4
28,1
29,7
30,1
31,9
35,1
36,2
37,4
38,4
40,4
41,4
42,10
43,2
45,3
46,1
47,2
49,2
50,8
51,2
52,1
53,1
54,4
55,3
57,2
58,4
59,2
60,2
61,3
62,2
63,2
64,3
65,10
67,7
68,10
69,9
70,2
71,2
72,1
73,10
74,3
75,2
76,3
77,9
78,1
79,10
80,10
81,2
82,7
83,10
84,1
85,2
86,3
87,10
88,4
89,11
90,4
91,10
92,9
93,11
94,1
95,3
96,7
97,10
98,3
99,1
100,1
101,10
102,1
103,3
104,3
106,4
110,2
111,1
112,4
113,1
114,3
115,3
116,7
117,1
118,10
121,1
122,9
123,3
124,9
125,1
126,1
127,6
128,5
129,1
130,1
131,2
132,3
133,1
134,1
135,1
136,10
137,8
138,2
139,3
140,3
141,9
143,3
144,1
145,2
147,2
148,9
149,7
150,3
151,2
152,8
153,1
154,4
155,11
156,10
157,10
158,1
159,2
160,1
161,10
162,1
163,1
164,1
165,1
166,1
169,1
171,2
172,4
174,2
175,4
176,2
177,2
178,2
179,1
180,5
181,10
182,2
183,1
184,11
185,10
186,3
187,2
188,2
190,6
191,1
192,1
194,6
195,1
196,3
198,2
199,4
200,2
201,1
202,2
203,10
204,10
205,2
206,10
207,1
208,1
209,1
211,1
214,1
215,7
217,4
218,10
219,3
220,2
221,11
223,9
224,11
225,2
226,5
228,5
231,2
232,1
233,2
234,8
235,10
237,1
238,3
240,3
242,9
243,6
244,2
246,10
247,11
248,6
249,7
250,2
251,2
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,2
264,5
265,3
266,1
267,1
268,7
269,1
270,2
271,1
272,3
273,1
274,2
276,2
277,2
278,2
279,10
280,10
281,2
283,1
285,2
286,8
289,1
290,3
292,5
293,3
294,3
295,6
296,4
300,11
303,1
304,1
305,2
307,9
308,9
309,1
312,3
314,1
315,1
316,1
317,1
318,11
321,1
322,1
323,1
324,2
325,7
329,1
330,1
331,11
332,2
333,1
334,1
335,6
336,4
338,1
340,4
341,12
342,3
343,1
344,3
345,1
346,1
347,10
348,4
349,3
353,11
354,3
355,2
356,4
357,2
358,2
359,3
360,9
361,1
362,4
363,1
364,2
365,3
366,1
367,3
369,11
370,8
372,1
377,8
378,10
379,1
380,1
381,5
382,10
383,1
385,8
387,2
388,1
389,4
390,2
391,11
392,6
393,10
394,1
395,7
396,5
397,1
398,4
399,6
400,3
402,6
404,2
405,1
406,5
408,3
409,1
410,3
411,2
413,4
414,8
415,3
416,6
417,10
418,4
419,3
420,3
421,6
422,3
423,7
426,2
427,2
429,2
432,10
433,5
434,1
435,3
438,6
439,10
440,2
443,6
448,6
449,5
451,6
452,5
453,1
454,1
455,3
456,1
459,1
464,8
466,9
467,2
468,3
469,1
470,2
471,2
472,3
473,1
474,10
477,3
478,3
480,1
481,1
483,1
484,1
486,11
487,8
488,3
489,1
490,12
493,10
494,1
495,1
496,1
497,1
498,1
499,9
501,10
502,10
503,2
504,1
505,6
506,9
507,2
508,9
509,10
510,1
511,9
512,11
513,2
515,2
516,3
517,3
518,1
519,3
522,1
523,1
524,1
526,1
527,1
