1,1,1,568
1,140,1,17795
1,568,0,4
1,661,1,17795
1,2443,1,568
1,2872,1,4738
1,3659,1,17795
1,3993,1,568
1,4025,1,7607
1,4738,0,30
1,5544,1,17795
1,7459,1,17795
1,7607,0,4
1,10500,1,7607
1,10526,1,17795
1,12103,1,4738
1,13480,1,7607
1,17795,0,20
1,17865,1,4738
1,17986,1,4738
1,18215,1,4738
1,19999,1,17795
1,20277,1,4738
1,23301,1,4738
2,552,0,1
2,664,0,2
2,16614,0,1
2,20524,2,664
3,1320,0,1
3,17881,0,1
4,179,0,1
5,38,0,1
5,12699,0,1
6,169,0,1
7,13363,0,2
7,20297,7,13363
8,3,0,1
9,3097,0,1
11,23,0,1
13,5607,0,1
18,11,0,1
32,3,0,1
51,18,0,1
76,87,0,1
